0.0001 atm,,0.001 atm,,0.01 atm,,0.1 atm,,1 atm,,10 atm,,100 atm,
T,E,T,E,T,E,T,E,T,E,T,E,T,E
8783.416726,37.94457275,9904.217298,35.03464203,12717.65547,37.2517321,,,,,,,,
8806.290207,38.54503464,9972.837741,35.72748268,12832.02287,37.34411085,,,,,,,,
8874.91065,39.28406467,10041.45818,36.42032333,12946.39028,37.39030023,,,,,,,,
8897.784132,39.93071594,10110.07863,37.15935335,13060.75768,37.39030023,,,,,,,,
8943.531094,40.43879908,10201.57255,37.852194,13175.12509,37.34411085,,,,,,,,
8989.278056,41.08545035,10315.93996,38.91454965,13335.23946,37.29792148,,,,,,,,
9057.898499,41.91685912,10430.30736,39.65357968,13541.10079,37.20554273,,,,,,,,
9126.518942,42.60969977,10590.42173,40.53117783,13701.21515,36.97459584,,,,,,,,
9195.139385,43.25635104,10750.5361,41.1778291,13861.32952,36.78983834,,,,,,,,
9263.759828,43.94919169,10864.9035,41.63972286,14021.44389,36.55889145,,,,,,,,
9332.380272,44.54965358,11002.14439,41.91685912,14181.55826,36.32794457,,,,,,,,
9378.127234,45.01154734,11116.51179,42.05542725,14387.41959,36.05080831,,,,,,,,
9446.747677,45.47344111,11208.00572,42.147806,14616.1544,35.81986143,,,,,,,,
9538.241601,45.93533487,11299.49964,42.19399538,14776.26876,35.63510393,,,,,,,,
9606.862044,46.39722864,11390.99357,42.19399538,14890.63617,35.4965358,,,,,,,,
9698.355969,46.72055427,11482.48749,42.147806,,,,,,,,,,
9812.723374,46.90531178,11596.8549,42.10161663,,,,,,,,,,
9904.217298,47.09006928,11711.2223,41.9630485,,,,,,,,,,
10018.5847,47.13625866,11848.46319,41.82448037,,,,,,,,,,
10110.07863,47.18244804,12008.57756,41.54734411,,,,,,,,,,
10201.57255,47.13625866,12191.5654,41.22401848,,,,,,,,,,
10315.93996,46.99769053,12305.93281,40.99307159,,,,,,,,,,
10430.30736,46.6743649,12420.30021,40.76212471,,,,,,,,,,
10590.42173,46.35103926,12626.16154,40.25404157,,,,,,,,,,
10727.66262,46.02771363,12809.14939,39.88452656,,,,,,,,,,
10864.9035,45.65819861,12969.26376,39.51501155,,,,,,,,,,
10979.27091,45.38106236,13106.50465,39.19168591,,,,,,,,,,
11116.51179,45.01154734,13243.74553,38.86836028,,,,,,,,,,
11208.00572,44.68822171,13380.98642,38.63741339,,,,,,,,,,
11368.12009,44.36489607,13495.35382,38.40646651,,,,,,,,,,
11505.36097,43.94919169,13632.59471,38.0369515,,,,,,,,,,
11642.60186,43.48729792,13769.8356,37.80600462,,,,,,,,,,
11825.58971,42.9330254,13907.07648,37.48267898,,,,,,,,,,
11962.83059,42.51732102,14044.31737,37.20554273,,,,,,,,,,
12100.07148,42.10161663,14204.43174,36.88221709,,,,,,,,,,
12260.18585,41.73210162,14341.67262,36.60508083,,,,,,,,,,
12374.55325,41.31639723,14501.78699,36.23556582,,,,,,,,,,
12534.66762,40.85450346,14661.90136,35.95842956,,,,,,,,,,
12717.65547,40.3926097,14799.14224,35.72748268,,,,,,,,,,
12877.76984,39.97690531,14890.63617,35.54272517,,,,,,,,,,
12992.13724,39.65357968,,,,,,,,,,,,
13152.25161,39.23787529,,,,,,,,,,,,
13335.23946,38.8221709,,,,,,,,,,,,
13541.10079,38.40646651,,,,,,,,,,,,
13724.08863,37.99076212,,,,,,,,,,,,
13884.203,37.62124711,,,,,,,,,,,,
14067.19085,37.20554273,,,,,,,,,,,,
14227.30522,36.83602771,,,,,,,,,,,,
14456.04003,36.42032333,,,,,,,,,,,,
14616.1544,36.05080831,,,,,,,,,,,,
14753.39528,35.77367206,,,,,,,,,,,,
14867.76269,35.63510393,,,,,,,,,,,,
