0.0001 atm,,0.001 atm,,0.01 atm,,0.1 atm,,1 atm,,10 atm,,100 atm,
T,Z,T,Z,T,Z,T,Z,T,Z,T,Z ,T,Z
7776.865818,2.317822659,9444.773559,2.805900069,9737.099029,2.348737827,12139.41129,2.746080273,11542.71365,2.16280003,12517.51156,2.091574758,13636.3679,2.054206002
7872.698841,2.366075639,9492.574237,2.844472667,9857.025448,2.39220026,12235.28292,2.789517884,11698.9153,2.182222847,12745.91618,2.106256671,13804.67416,2.064010491
7968.454641,2.423959359,9552.440918,2.878242307,9964.963085,2.430834912,12367.15951,2.842623466,11867.10573,2.206473445,12950.266,2.120913762,14033.11739,2.073877034
8040.271492,2.467372149,9624.180546,2.931285836,10048.84594,2.469444743,12451.04236,2.881233297,11999.29121,2.221056072,13166.60461,2.140398633,14249.53322,2.083731167
8135.988681,2.530071238,9683.970005,2.974686215,10120.74001,2.503226794,12534.88661,2.924658498,12107.38329,2.240429246,13322.88349,2.150190712,14417.87809,2.088720287
8207.689698,2.587930136,9755.709633,3.027729744,10192.63408,2.537008845,12654.77441,2.9729363,12251.51894,2.264655023,13467.09635,2.164785749,14754.56784,2.098698526
8291.379496,2.650616814,9827.487872,3.075957903,10312.52189,2.585286647,12762.59622,3.026017061,12383.58858,2.293683758,13647.3914,2.179418019,14898.85794,2.103662825
8375.069293,2.713303492,9911.177669,3.138644581,10372.34996,2.623871656,12882.44541,3.079110232,12491.68066,2.313056932,13803.55444,2.203656206,14970.98368,2.108552659
8422.83136,2.756691461,10006.93347,3.196528301,10480.17176,2.676952417,12990.30583,3.127375624,12587.78396,2.327602327,14007.82704,2.227944036,15007.06585,2.108589891
8494.493766,2.819365728,10126.47378,3.288144428,10599.94374,2.739676328,13146.12137,3.194952136,12671.78265,2.351766049,14212.06104,2.257047235,,
8566.156171,2.882039996,10210.16357,3.350831106,10683.71076,2.792732267,13301.97551,3.257713279,12755.85856,2.366299033,14368.22408,2.281285422,,
8661.680305,2.968815932,10293.9692,3.399071676,10791.49395,2.850628397,13433.81349,3.31563423,12851.92325,2.385659797,14488.30494,2.305486377,,
8745.177046,3.055579458,10377.69761,3.456942985,10875.29958,2.898868967,13565.69008,3.368739813,12960.01533,2.405032971,14644.42937,2.334539934,,
8816.723618,3.132699834,10461.50324,3.505183555,10971.05538,2.956752687,13721.58284,3.426685586,13068.06881,2.429221515,14788.64224,2.349134971,,
8912.324974,3.209845031,10569.28644,3.563079685,11042.83362,3.004980846,13853.45943,3.479791169,13164.09488,2.453397649,14896.77293,2.363692776,,
8983.910157,3.282150038,10677.10824,3.616160446,11138.62803,3.058049196,13961.35845,3.52324119,13260.12096,2.477573782,14980.92606,2.368595021,,
9067.599955,3.344836716,10820.97361,3.674093809,11210.40627,3.106277355,14093.27365,3.571531403,13356.14704,2.501749915,15004.98085,2.368619842,,
9139.223749,3.412326353,10940.86142,3.722371611,11318.18947,3.164173486,14237.25485,3.615018657,13476.22791,2.52595087,,,,
9222.913547,3.475013031,11084.7654,3.775489604,11413.98388,3.217241836,14405.17501,3.672976842,13584.24277,2.554954784,,,,
9318.630736,3.53771212,11264.79016,3.82382946,11509.70107,3.279940925,14549.15621,3.716464096,13668.20284,2.583933876,,,,
9426.375318,3.60042362,11444.93076,3.857723207,11641.50043,3.342677246,14729.29681,3.750357843,13752.20153,2.608097598,,,,
9546.10868,3.6679629,11625.07136,3.891616955,11737.29484,3.395745596,14885.49846,3.769780661,13848.11177,2.64671984,,,,
9689.858214,3.740342371,11757.25684,3.906199581,11845.15526,3.444010988,14945.59681,3.774658084,13944.02202,2.685342082,,,,
9797.75724,3.783792393,11913.45849,3.925622399,11940.98828,3.492263968,14993.70637,3.774707727,14027.9821,2.714321174,,,,
9917.760881,3.817624087,12105.78093,3.940267079,12060.87609,3.54054177,15005.73376,3.774720138,14147.8699,2.762598976,,,,
10049.7533,3.856283561,12238.00501,3.950034336,12180.7639,3.588819573,,,14231.79137,2.796393437,,,,
10193.81173,3.890140076,12382.25649,3.959814004,12312.67909,3.637109785,,,14339.61317,2.849474198,,,,
10373.99094,3.919218454,12502.45319,3.969568851,12444.6329,3.680584629,,,14447.5122,2.89292422,,,,
10554.28598,3.933850724,12682.86407,3.969755012,12576.62533,3.719244103,,,14555.48845,2.926743503,,,,
10722.55364,3.948470582,12851.17033,3.979559501,12708.65636,3.753088207,,,14663.42608,2.965378155,,,,
10878.83251,3.958262661,13019.55382,3.979733252,12840.68739,3.786932312,,,14795.45712,2.99922226,,,,
11047.13877,3.96806715,13224.01948,3.979944234,12984.82304,3.811158088,,,14867.50563,3.013742833,,,,
11215.48365,3.97305627,13476.5561,3.98502023,13164.96364,3.845051836,,,14963.60893,3.028288227,,,,
11528.11861,3.983009689,13717.06533,3.990083814,13297.1105,3.864449832,,,14999.6525,3.033140829,,,,
11756.60045,3.988060862,14005.72273,3.990381672,13405.2412,3.879007637,,,,,,,,
11997.14829,3.988309077,14222.17718,3.995420435,13549.45407,3.893602674,,,,,,,,
12225.63012,3.993360251,14631.1085,3.9958424,13705.69433,3.908210122,,,,,,,,
12766.82415,3.998734104,15003.95765,3.996227133,13825.89102,3.917964969,,,,,,,,
13163.72808,3.999143659,,,13970.10389,3.932560006,,,,,,,,
13512.52244,3.99950357,,,14102.32798,3.942327263,,,,,,,,
13981.59073,3.999987589,,,14210.49728,3.952069699,,,,,,,,
14366.46727,4.000384733,,,14330.69398,3.961824545,,,,,,,,
14967.83686,4.00100527,,,14474.94546,3.971604213,,,,,,,,
15003.91904,4.001042503,,,14631.26295,3.976580922,,,,,,,,
,,,,14787.54182,3.986373001,,,,,,,,
,,,,14883.72234,3.991287656,,,,,,,,
,,,,15003.95765,3.996227133,,,,,,,,
