35900 ft,,59800 ft,,82200 ft,,100000 ft,,120300 ft,,154800 ft,,173500 ft,,200100 ft,,230400 ft,,259700 ft,,294800 ft,,322900 ft,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
,,,,32240.92888,11336.51551,30673.43977,10047.7327,32197.38752,10541.76611,30063.86067,8608.591885,31457.18433,9360.381862,38510.88534,11916.46778,36203.19303,10584.72554,43213.35269,11250.59666,45521.04499,10369.9284,45259.79681,9403.341289
,,,,32719.88389,11723.15036,31587.80842,10541.76611,32850.50798,10992.8401,30847.60522,9167.064439,32153.84615,9811.455847,39817.12627,12260.1432,37378.80987,10885.44153,44432.51089,11443.91408,,,,
,,,,33068.2148,12002.38663,32328.01161,10949.88067,33503.62845,11465.39379,31718.43251,9789.976134,32937.59071,10284.00955,40862.11901,12539.37947,38510.88534,11164.6778,45738.75181,11658.71122,,,,
,,,,,,32937.59071,11400.95465,34287.373,11959.42721,32589.2598,10348.44869,34026.12482,10842.4821,42560.23222,12926.01432,39860.66763,11465.39379,,,,,,
,,,,,,33460.08708,11830.54893,34984.03483,12389.02148,33547.16981,10906.92124,35158.20029,11336.51551,43561.6836,13140.81146,41210.44993,11744.63007,,,,,,
,,,,,,33939.04209,12195.70406,35854.86212,12840.09547,34461.53846,11357.99523,36159.65167,11723.15036,44432.51089,13312.64916,42908.56313,12066.82578,,,,,,
,,,,,,34679.24528,12689.73747,36769.23077,13269.68974,35462.98984,11830.54893,37291.72714,12109.7852,45346.87954,13484.48687,44519.59361,12346.06205,,,,,,
,,,,,,35245.28302,13011.93317,37552.97533,13613.36516,36986.93759,12453.46062,38554.42671,12496.42005,,,45869.37591,12560.85919,,,,,,
,,,,,,,,38423.80261,13978.52029,38119.01306,12840.09547,39773.58491,12840.09547,,,,,,,,,,
,,,,,,,,,,39076.92308,13140.81146,40905.66038,13140.81146,,,,,,,,,,
,,,,,,,,,,40078.37446,13463.00716,42124.81858,13463.00716,,,,,,,,,,
,,,,,,,,,,40862.11901,13720.76372,43039.18723,13699.28401,,,,,,,,,,
,,,,,,,,,,41471.69811,13892.60143,44040.63861,13957.04057,,,,,,,,,,
